market,state,county,geoid,place_or_corridor,rural,status,lat,lon,notes
Atlanta,Georgia,DeKalb,13089022011,DeKalb County urban-eligible tract,N,Eligible — not designated,33.8015694,-84.2311426,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); urban/non-rural pack for Land Search Builder"
Atlanta,Georgia,DeKalb,13089022012,DeKalb County urban-eligible tract,N,Eligible — not designated,33.8010192,-84.2422232,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); urban/non-rural pack for Land Search Builder"
Atlanta,Georgia,DeKalb,13089022013,DeKalb County urban-eligible tract,N,Eligible — not designated,33.8209358,-84.2350392,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); urban/non-rural pack for Land Search Builder"
Atlanta,Georgia,DeKalb,13089022014,DeKalb County urban-eligible tract,N,Eligible — not designated,33.8156808,-84.2405396,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); urban/non-rural pack for Land Search Builder"
Atlanta,Georgia,DeKalb,13089022016,DeKalb County urban-eligible tract,N,Eligible — not designated,33.8087834,-84.2098177,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); urban/non-rural pack for Land Search Builder"
Atlanta,Georgia,DeKalb,13089022100,DeKalb County urban-eligible tract,N,Eligible — not designated,33.7906241,-84.2553347,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); urban/non-rural pack for Land Search Builder"
Atlanta,Georgia,DeKalb,13089022404,DeKalb County urban-eligible tract,N,Eligible — not designated,33.7993609,-84.3296665,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); urban/non-rural pack for Land Search Builder"
Atlanta,Georgia,DeKalb,13089023108,DeKalb County urban-eligible tract,N,Eligible — not designated,33.745283,-84.2322398,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); urban/non-rural pack for Land Search Builder"
Atlanta,Georgia,DeKalb,13089023111,DeKalb County urban-eligible tract,N,Eligible — not designated,33.7574297,-84.2269034,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); urban/non-rural pack for Land Search Builder"
Atlanta,Georgia,DeKalb,13089023112,DeKalb County urban-eligible tract,N,Eligible — not designated,33.7649495,-84.2385881,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); urban/non-rural pack for Land Search Builder"
Atlanta,Georgia,DeKalb,13089023113,DeKalb County urban-eligible tract,N,Eligible — not designated,33.77719,-84.2532758,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); urban/non-rural pack for Land Search Builder"
Atlanta,Georgia,DeKalb,13089023115,DeKalb County urban-eligible tract,N,Eligible — not designated,33.7737809,-84.2413121,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); urban/non-rural pack for Land Search Builder"
Atlanta,Georgia,DeKalb,13089023215,DeKalb County urban-eligible tract,N,Eligible — not designated,33.7584362,-84.2093785,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); urban/non-rural pack for Land Search Builder"
Atlanta,Georgia,DeKalb,13089023218,DeKalb County urban-eligible tract,N,Eligible — not designated,33.7550136,-84.1925144,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); urban/non-rural pack for Land Search Builder"
Atlanta,Georgia,DeKalb,13089023219,DeKalb County urban-eligible tract,N,Eligible — not designated,33.7772545,-84.2166645,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); urban/non-rural pack for Land Search Builder"
Atlanta,Georgia,DeKalb,13089023222,DeKalb County urban-eligible tract,N,Eligible — not designated,33.7759491,-84.1885328,"Rev. Proc. 2026-14 appendix Non-rural (eligible, not entirely rural); urban/non-rural pack for Land Search Builder"
